system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
1_1_1_1_1_0_0,7518,7463,7711,7671,7469,7127,6735,0,1.1449146,0.9239495,-0.067561954,
1_1_1_1_1_1_0,7517,7385,7670,7736,7513,7135,6811,0,1.1261195,0.9304666,-0.05931911,
1_1_1_1_1_2_0,5453,5372,5603,5787,5487,5332,5035,0,1.1128104,0.914469,-0.053393494,
1_1_1_1_1_3_0,7596,7685,7930,7857,7634,7159,6801,0,1.166005,0.9418825,-0.0766411,
1_1_1_1_1_4_0,8057,7832,7955,7811,7587,7238,6973,0,1.140829,0.89567953,-0.06578242,
1_1_1_1_1_5_0,8201,8033,8134,8094,7837,7448,7146,0,1.1382592,0.90378004,-0.064659685,
1_1_1_1_1_6_0,7793,7581,7742,7727,7478,7146,6838,0,1.1322024,0.9057315,-0.062002745,
1_1_1_1_1_7_0,3739,3760,3806,3739,3575,3399,3144,0,1.2105598,0.8697166,-0.0952518,
1_1_1_1_1_8_0,3974,4057,4185,4199,4237,3909,3521,0,1.1885828,0.88917345,-0.08616662,
1_1_1_1_1_9_0,4419,4429,4517,4374,4138,4022,3851,0,1.172942,0.89922816,-0.07958891,
1_1_1_1_1_10_0,2530,2496,2543,2635,2496,2355,2207,0,1.1522429,0.57774967,-0.07073684,
1_1_1_1_1_11_0,2731,2669,2740,2798,2730,2681,2480,0,1.1048387,0.61122847,-0.049808428,
1_1_1_1_1_12_0,4534,4442,4585,4518,4418,4427,4297,0,1.0670235,0.6787604,-0.032425128,
1_1_1_1_1_13_0,11252,11077,11284,11162,10736,10080,9585,0,1.1772561,0.9274404,-0.08141262,
1_1_1_1_1_14_0,10145,9973,10106,10118,9615,9202,8766,0,1.1528634,0.89043695,-0.07100467,
1_1_1_1_1_15_0,10839,10642,10847,10875,10407,10018,9609,0,1.1288376,0.8888889,-0.060520142,
1_1_1_1_1_16_0,9026,8818,9023,8996,8875,8470,7949,0,1.1351113,0.9098982,-0.063280694,
1_1_1_1_1_17_0,10793,10612,10781,10698,10221,9751,9334,0,1.1550246,0.8914535,-0.07193637,
1_1_1_1_1_18_0,7659,7438,7604,7626,7445,7126,6831,0,1.1131606,0.87662417,-0.0535504,
1_1_1_1_1_19_0,8289,8041,8049,7929,7663,7395,7173,0,1.1221247,0.87457746,-0.057548285,
1_1_1_1_1_20_0,5887,5697,5878,5785,5676,5564,5282,0,1.112836,0.8917483,-0.053405017,
1_1_1_1_1_21_0,5550,5362,5378,5388,5321,5071,4816,0,1.1166943,0.89035785,-0.05513047,
1_1_1_1_1_22_0,3954,3882,3969,3957,3899,3834,3709,0,1.0700997,0.5640612,-0.033862986,
1_1_1_1_1_23_0,8247,7974,8043,7964,7766,7403,7239,0,1.111065,0.86526316,-0.052610915,
1_1_1_1_1_24_0,9843,9666,9865,9778,9245,8819,8350,0,1.1814371,0.9519386,-0.08317321,
1_1_1_1_1_25_0,8369,8233,8427,8528,8198,7799,7246,0,1.1629865,0.9465658,-0.07535252,
1_1_1_1_1_26_0,6571,7077,7869,8029,7956,7746,7466,0,1.0539781,0.91970706,-0.026279753,
1_1_1_1_1_27_0,10054,9958,10296,10310,9918,9598,9149,0,1.1253688,0.89857006,-0.058986887,
1_1_1_1_1_28_0,9701,9618,9859,9829,9361,8925,8431,0,1.169375,0.89704144,-0.07807545,
1_1_1_1_1_29_0,10775,10675,10894,10813,10371,9815,9396,0,1.1594296,0.91085654,-0.07382947,
1_1_1_1_1_30_0,8402,8386,8673,8703,8395,8020,7631,0,1.1365483,0.9013717,-0.0639107,
1_1_1_1_1_31_0,6403,6591,7154,7197,7056,6884,6708,0,1.0664878,0.62660414,-0.03217429,
1_1_1_1_1_32_0,5660,5907,6392,6456,6361,6203,5990,0,1.0671118,0.68314576,-0.032466482,
1_1_1_1_1_33_0,4448,4540,4846,4871,4769,4651,4535,0,1.0685778,0.52605045,-0.033152115,
1_1_1_1_1_34_0,3867,3962,4242,4266,4180,4059,3871,0,1.0958408,0.62610304,-0.04572908,
1_1_1_1_1_35_0,6805,7301,8131,8223,8130,7933,7688,0,1.0576223,0.9246079,-0.028004298,
1_1_1_1_1_36_0,5014,5118,5475,5555,5457,5373,5224,0,1.0480474,0.46689597,-0.023460137,
1_1_1_1_1_37_0,11109,10961,11235,11157,10568,9999,9539,0,1.1777964,0.90559804,-0.08164051,
1_1_1_1_1_38_0,9114,9016,9055,9136,8528,8124,7550,0,1.1993377,0.9428941,-0.09063535,
1_1_1_1_1_39_0,9032,8864,9069,8982,8751,8327,8062,0,1.124907,0.89038175,-0.058782324,
1_1_1_1_1_40_0,9654,9483,9710,9628,9312,8842,8490,0,1.1436985,0.8741107,-0.06703297,
1_1_1_1_1_41_0,8827,8662,8878,8816,8552,8063,7817,0,1.1357298,0.90457344,-0.06355196,
1_1_1_1_1_42_0,7772,7693,8055,8126,7882,7595,7313,0,1.1014632,0.91511077,-0.048282146,
1_1_1_1_1_43_0,6854,6765,6989,7064,6902,6508,6200,0,1.1272581,0.9104773,-0.059822578,
1_1_1_1_1_44_0,8561,8497,8832,8785,8537,8142,7835,0,1.1272495,0.8687046,-0.059818804,
1_1_1_1_1_45_0,5530,5558,5777,5790,5582,5256,5025,0,1.1496518,0.91721284,-0.069616735,
