system:index,landcover,.geo
1_1_1_1_1_0,0,"{""type"":""Point"",""coordinates"":[88.10476114902681,27.961156074631063]}"
1_1_1_1_1_1,0,"{""type"":""Point"",""coordinates"":[88.11420252475924,27.96297553050922]}"
1_1_1_1_1_2,0,"{""type"":""Point"",""coordinates"":[88.14819147739595,27.990566850193854]}"
1_1_1_1_1_3,0,"{""type"":""Point"",""coordinates"":[88.2181868405846,27.970310093811193]}"
1_1_1_1_1_4,0,"{""type"":""Point"",""coordinates"":[88.2759057774076,27.973436027382043]}"
1_1_1_1_1_5,0,"{""type"":""Point"",""coordinates"":[88.35065979041201,28.000298745661983]}"
1_1_1_1_1_6,0,"{""type"":""Point"",""coordinates"":[88.67128930140535,27.99235710086699]}"
1_1_1_1_1_7,0,"{""type"":""Point"",""coordinates"":[88.82277413183367,27.959438231582915]}"
1_1_1_1_1_8,0,"{""type"":""Point"",""coordinates"":[88.82054253393328,27.953373060631215]}"
1_1_1_1_1_9,0,"{""type"":""Point"",""coordinates"":[88.88644009266808,27.927179699155925]}"
1_1_1_1_1_10,0,"{""type"":""Point"",""coordinates"":[88.91735941671269,27.917740140959932]}"
1_1_1_1_1_11,0,"{""type"":""Point"",""coordinates"":[88.71254775709983,27.987309446878808]}"
1_1_1_1_1_12,0,"{""type"":""Point"",""coordinates"":[88.86288051332079,27.947827564516068]}"
1_1_1_1_1_13,0,"{""type"":""Point"",""coordinates"":[88.856614873062,27.944491403936844]}"
1_1_1_1_1_14,0,"{""type"":""Point"",""coordinates"":[88.26877378404308,27.98433611225059]}"
1_1_1_1_1_15,0,"{""type"":""Point"",""coordinates"":[88.27031873643566,27.981228471935577]}"
1_1_1_1_1_16,0,"{""type"":""Point"",""coordinates"":[88.25229429185558,27.97948512230491]}"
1_1_1_1_1_17,0,"{""type"":""Point"",""coordinates"":[88.24937604844737,27.98645835173144]}"
1_1_1_1_1_18,0,"{""type"":""Point"",""coordinates"":[88.25212263047862,27.97433070640467]}"
1_1_1_1_1_19,0,"{""type"":""Point"",""coordinates"":[88.25195096910167,27.97289045793692]}"
1_1_1_1_2_0,1,"{""type"":""Point"",""coordinates"":[88.88134798523429,28.113110742295753]}"
1_1_1_1_2_1,1,"{""type"":""Point"",""coordinates"":[88.8794597100878,28.112732220110512]}"
1_1_1_1_2_2,1,"{""type"":""Point"",""coordinates"":[88.87662729736807,28.111218118009916]}"
